h3_cell,location_name,lat,lon,top_violation_details
8861892ca1fffff,"KV Jairam Road, Sobha HRC Pristine, Jakkuru",13.07145395,77.60754321666667,WRONG PARKING (112) | NO PARKING (113)
8861892ca3fffff,"Amruthahalli Main Road, Hoodi Layout, Jakkuru",13.0657444,77.6008406,WRONG PARKING (112)
8861892ca7fffff,"KV Jairam Road, Navya Nagar, Jakkuru",13.072577389473684,77.60411672105263,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892cadfffff,"80 Feet Road, Dr Shivaramakaranth Nagar, Srirampura",13.070910566666667,77.62031363333334,PARKING IN A MAIN ROAD (107) | WRONG PARKING (112) | NO PARKING (113)
8861892cb1fffff,"15th Cross Road, Oscar Orchards, Sahakara Nagar",13.062277262981496,77.58883997533164,WRONG PARKING (112) | NO PARKING (113) | PARKING NEAR ROAD CROSSING (104)
8861892cb3fffff,"Kodigehalli Main Road, Kodigehalli Circle, Sahakara Nagar",13.060463513136444,77.57719304648991,WRONG PARKING (112) | DEFECTIVE NUMBER PLATE (116) | PARKING NEAR ROAD CROSSING (104)
8861892cb5fffff,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura",13.070380544623859,77.5901987587073,WRONG PARKING (112) | NO PARKING (113) | DEFECTIVE NUMBER PLATE (116)
8861892cb7fffff,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura",13.07021702542214,77.58711279362102,WRONG PARKING (112) | NO PARKING (113) | PARKING ON FOOTPATH (105)
8861892cb9fffff,"Bellary Road, Esteem Mall, Hebbal Kempapura",13.051931040865494,77.59288069117417,WRONG PARKING (112) | NO PARKING (113) | DEFECTIVE NUMBER PLATE (116)
8861892cbbfffff,"3rd Cross Road, NTI Layout Phase 2, Kodigehalli",13.0558715,77.5795692,WRONG PARKING (112)
8861892cbdfffff,"20th Main Road, Block G, Sahakara Nagar",13.060550032247459,77.59283863197223,WRONG PARKING (112) | NO PARKING (113) | PARKING NEAR ROAD CROSSING (104)
8861892cc1fffff,"Kempegowda Road, Kamraj Nagar, HBR Layout",13.031588302631581,77.62291372763157,NO PARKING (113) | WRONG PARKING (112) | PARKING ON FOOTPATH (105)
8861892cc3fffff,"1st Main Road, Silver Oak Apartment, CL Ramaiyah Layout",13.02659885,77.612090675,WRONG PARKING (112)
8861892cc5fffff,"5th Cross Road, Rajath Greens, Block 5 Stage 1",13.035562449185774,77.62436863243508,NO PARKING (113) | WRONG PARKING (112) | PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC (111)
8861892cc7fffff,"MBT Road, Hanging Gardens, Nagavara",13.040528499999999,77.61661460526317,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892cc9fffff,"80 Feet Road, Brindavan Nagar, HBR Layout",13.025497034615386,77.62754116923077,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892ccbfffff,"Dr Ambedkar Medical College Road, Sowkar Nagar, Kadugondanahalli",13.0210414,77.6142995121212,WRONG PARKING (112) | NO PARKING (113)
8861892ccdfffff,"8th Main Road, CMR Garden, Block 5 Stage 1",13.03217554827586,77.62842310172412,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892cd1fffff,"Adi Kabir Ashram Main Road, Mariappa Garden, RT Nagar",13.022586970588236,77.60108809411764,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892cd3fffff,"RT Nagar Main Road, Judicial Officers HBCS, Ganga Nagar",13.023173435643566,77.59245737376237,WRONG PARKING (112) | NO PARKING (113) | DEFECTIVE NUMBER PLATE (116)
8861892cd5fffff,"KHB Main Road, Siroya Sunshine, Ayyappa Block",13.031234033333334,77.6062034,WRONG PARKING (112) | NO PARKING (113) | PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC (111)
8861892cd7fffff,"5th Main Road, Chowdaiah Block, Chamundi Nagar",13.02876575,77.5934731,WRONG PARKING (112) | NO PARKING (113)
